Ticket ID,Open Time,Open Price,Close Time,Close Price,Profit,Lots,Commission,Swap,Symbol,Type,SL,TP,Pips,Reason,Volume
126175615,2025.06.20 13:17:01,1.15312,2025-06-20 15:47:39,1.15087,787.5,3.5,0,0,EURUSD,Sell,1.1531,0,225.000000,16,350
126114649,2025.06.20 13:17:01,1.15312,2025-06-20 13:30:50,1.15251,488,8,0,0,EURUSD,Sell,1.1536,0,61.000000,16,800
134273770,2025.06.20 13:17:01,1.15312,2025-06-20 17:40:09,1.15017,1032.5,3.5,-75,0,EURUSD,Sell,1.1531,1.1499,295.000000,16,350
134157467,2025.06.20 07:57:39,1.15261,2025-06-20 13:11:26,1.15334,-365,5,-25,0,EURUSD,Sell,1.1533,1.147,-73.000000,3,500
125681644,2025.06.19 10:27:11,3354.18,2025-06-19 10:41:59,3367.83,682.5,0.5,0,0,XAUUSD,Buy,0,0,1365.000000,16,50
133806451,2025.06.19 10:27:11,3354.18,2025-06-19 11:05:29,3363.7,476,0.5,-5,0,XAUUSD,Buy,0,0,952.000000,16,50
133667169,2025.06.19 06:27:15,3370.03,2025-06-19 08:52:37,3361.48,-855,1,-5,0,XAUUSD,Buy,3361.52,3392.2,-855.000000,3,100
133422767,2025.06.18 16:01:24,3388.68,2025-06-18 17:02:36,3388.84,15,1,-5,0,XAUUSD,Buy,3389.08,3419.98,15.000000,3,100
133324004,2025.06.18 12:08:11,3385.41,2025-06-18 15:30:33,3385.6,16,1,-5,0,XAUUSD,Buy,3385.6,0,16.000000,3,100
133274412,2025.06.18 09:54:54,3384.68,2025-06-18 11:16:08,3385.16,48,1,-5,0,XAUUSD,Buy,3385.21,0,48.000000,3,100
132899342,2025.06.17 14:35:39,3394.68,2025-06-17 15:02:40,3385.86,220.5,0.25,-1.25,0,XAUUSD,Sell,3388.33,3377.32,882.000000,16,25
132784204,2025.06.17 10:18:35,3387.26,2025-06-17 12:04:07,3377.21,-502.5,0.5,-2.5,0,XAUUSD,Buy,3377.4,3430.68,-1005.000000,3,50
132712409,2025.06.17 06:09:42,3385.56,2025-06-17 08:13:20,3393.34,93.36,0.12,-0.6,0,XAUUSD,Buy,0,0,778.000000,16,12
132332724,2025.06.16 10:51:13,3413.29,2025-06-16 12:49:55,3413.79,50,1,-5,0,XAUUSD,Buy,3413.79,3452.02,50.000000,3,100
132312727,2025.06.16 10:08:27,3416.25,2025-06-16 10:12:13,3411.78,-222,0.5,-2.5,0,XAUUSD,Buy,3411.9,0,-444.000000,3,50
132305179,2025.06.16 09:51:21,3416.25,2025-06-16 10:07:59,3416.67,42,1,-5,0,XAUUSD,Buy,3416.71,0,42.000000,3,100
132227995,2025.06.16 04:29:25,3435.16,2025-06-16 05:01:52,3443.44,-207,0.25,-1.25,0,XAUUSD,Sell,3443.42,0,-828.000000,3,25
131927126,2025.06.13 13:29:23,3422.04,2025-06-13 13:39:04,3415.48,656,1,-5,0,XAUUSD,Sell,3421.66,0,656.000000,16,100
131863612,2025.06.13 10:40:31,3416.35,2025-06-13 11:13:34,3421.82,-273.5,0.5,-2.5,0,XAUUSD,Sell,0,0,-547.000000,16,50
131863277,2025.06.13 10:39:19,3416.83,2025-06-13 11:13:37,3421.54,-37.68,0.08,-0.4,0,XAUUSD,Sell,0,0,-471.000000,16,8
123334048,2025.06.12 08:57:13,1.15264,2025-06-12 10:43:16,1.15074,475,2.5,0,0,EURUSD,Sell,1.1526,1.144,190.000000,16,250
131268064,2025.06.12 08:57:13,1.15264,2025-06-12 10:52:24,1.15179,212.5,2.5,-25,0,EURUSD,Sell,1.1518,1.1446,85.000000,3,250
131265265,2025.06.12 08:44:04,1.15255,2025-06-12 08:53:50,1.15317,-120,2,-10,0,EURUSD,Sell,1.1531,0,-60.000000,3,200
130187726,2025.06.10 05:04:08,3306.25,2025-06-10 09:15:11,3321.95,785,0.5,-2.5,0,XAUUSD,Buy,3306.61,3337.78,1570.000000,16,50
129750069,2025.06.09 07:32:05,3310.99,2025-06-09 07:32:09,3311.27,-2.8,0.1,-0.5,0,XAUUSD,Sell,0,0,-28.000000,16,10
129724339,2025.06.09 04:59:37,3295.74,2025-06-09 07:32:22,3311.02,764,0.5,-2.5,0,XAUUSD,Buy,3296.21,3336.61,1528.000000,16,50
129705867,2025.06.09 03:48:02,3301.4,2025-06-09 04:01:08,3301.79,39,1,-5,0,XAUUSD,Buy,3301.84,0,39.000000,3,100
129679436,2025.06.09 01:53:58,3311.41,2025-06-09 03:11:29,3312.07,16.5,0.25,-1.25,0,XAUUSD,Buy,3312.15,3363.47,66.000000,3,25
129173526,2025.06.05 19:45:24,3350.99,2025-06-06 04:32:03,3365.27,714,0.5,-2.5,-18,XAUUSD,Buy,3356.35,3383.07,1428.000000,16,50
128775782,2025.06.05 09:35:31,3367.54,2025-06-05 10:25:04,3372.46,246,0.5,-2.5,0,XAUUSD,Buy,3367.78,3384.38,492.000000,16,50
128775023,2025.06.05 09:33:17,3368.99,2025-06-05 12:16:51,3377.8,440.5,0.5,-2.5,0,XAUUSD,Buy,3369.16,3383.81,881.000000,16,50
128730487,2025.06.05 05:39:20,3371.16,2025-06-05 06:50:45,3373.51,235,1,-5,0,XAUUSD,Buy,3373.65,3384.53,235.000000,3,100
128728983,2025.06.05 05:29:24,3371.3,2025-06-05 05:38:52,3371.45,15,1,-5,0,XAUUSD,Buy,3371.45,0,15.000000,3,100
128412764,2025.06.04 13:47:19,3351.19,2025-06-04 14:52:08,3350.71,24,0.5,-2.5,0,XAUUSD,Sell,3350.67,3325.41,48.000000,3,50
128411174,2025.06.04 13:46:38,3351.82,2025-06-04 13:47:02,3351.53,29,1,-5,0,XAUUSD,Sell,3351.43,0,29.000000,3,100
120525732,2025.06.04 11:12:47,3356.54,2025-06-04 12:01:55,3362.93,159.75,0.25,0,0,XAUUSD,Buy,3356.98,3373.29,639.000000,16,25
128348786,2025.06.04 11:12:47,3356.54,2025-06-04 13:44:19,3354.26,-57,0.25,-2.5,0,XAUUSD,Buy,3354.4,3383.6,-228.000000,3,25
128225354,2025.06.04 04:25:50,3363.29,2025-06-04 06:27:22,3367.7,-220.5,0.5,-2.5,0,XAUUSD,Sell,0,0,-441.000000,16,50
128220340,2025.06.04 04:10:49,3355.14,2025-06-04 06:27:26,3367.65,-625.5,0.5,-2.5,0,XAUUSD,Sell,0,0,-1251.000000,16,50
128210112,2025.06.04 03:33:36,3354.47,2025-06-04 03:43:08,3352.74,346,2,-10,0,XAUUSD,Sell,3353.82,0,173.000000,16,200
128196660,2025.06.04 02:20:00,3360.59,2025-06-04 03:05:02,3355.32,-527,1,-5,0,XAUUSD,Buy,0,0,-527.000000,16,100
127894236,2025.06.03 12:27:32,1.14148,2025-06-03 12:57:18,1.14108,-120,3,-15,0,EURUSD,Buy,0,0,-40.000000,16,300
127878291,2025.06.03 11:42:14,1.14127,2025-06-03 12:13:42,1.14118,18,2,-10,0,EURUSD,Sell,1.1412,1.1371,9.000000,3,200
127791920,2025.06.03 08:25:58,1.14223,2025-06-03 11:02:32,1.14098,-125,1,-5,0,EURUSD,Buy,1.141,1.1436,-125.000000,3,100
127312637,2025.06.02 09:45:24,3343.47,2025-06-02 10:16:20,3354.71,-1124,1,-5,0,XAUUSD,Sell,0,0,-1124.000000,16,100
127295890,2025.06.02 09:22:58,3333.67,2025-06-02 10:16:24,3355.63,-2196,1,-5,0,XAUUSD,Sell,0,0,-2196.000000,16,100
127188172,2025.06.02 04:00:35,3310.76,2025-06-02 04:25:47,3310.61,15,1,-5,0,XAUUSD,Sell,3310.47,0,15.000000,3,100
127166011,2025.06.02 02:50:42,3310.95,2025-06-02 03:09:05,3313.45,-250,1,-5,0,XAUUSD,Sell,3313.31,3305.84,-250.000000,3,100
127162084,2025.06.02 02:17:27,3312.64,2025-06-02 02:46:39,3312.46,13.5,0.75,-3.75,0,XAUUSD,Sell,3312.38,3295.32,18.000000,3,75
127088315,2025.05.30 18:45:55,1.13532,2025-05-30 19:57:57,1.13468,-64,1,-5,0,EURUSD,Buy,1.1327,0,-64.000000,16,100
127003980,2025.05.30 16:42:37,1.34744,2025-05-30 16:56:49,1.34537,-621,3,-15,0,GBPUSD,Buy,0,0,-207.000000,16,300
126997259,2025.05.30 16:34:13,3292.91,2025-05-30 16:39:03,3299.52,-330.5,0.5,-2.5,0,XAUUSD,Sell,0,0,-661.000000,16,50
126989819,2025.05.30 16:24:38,3300.08,2025-05-30 16:34:06,3293.57,-305.5,0.5,-2.5,0,XAUUSD,Buy,0,0,-611.000000,16,50
126984294,2025.05.30 16:17:17,3294.74,2025-05-30 16:23:21,3300.38,-1128,2,-10,0,XAUUSD,Sell,0,0,-564.000000,16,200
126952913,2025.05.30 15:26:25,3304.56,2025-05-30 16:16:52,3295.73,-979,1,-5,0,XAUUSD,Buy,3294.96,3315.74,-979.000000,3,100